"Alley","Lot.Shape","Land.Contour","Utilities","Neighborhood","MS.SubClass","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","SalePrice"
"UNKNOWN","Reg","Lvl","AllPub","Mitchel",20,6600,5,6,1982,2005,0,638,0,207,845,0,0,0,0,1,0,3,1,6,1345
"UNKNOWN","IR1","Lvl","AllPub","BrkSide",30,5350,3,2,1940,1966,0,0,0,728,1306,0,0,0,0,1,0,3,1,6,765
"UNKNOWN","IR1","Lvl","AllPub","CollgCr",60,11250,7,5,2001,2002,162,486,0,434,920,866,0,1,0,2,1,3,1,6,2235
"UNKNOWN","Reg","Lvl","AllPub","Edwards",20,9375,4,5,1954,1954,0,799,0,168,1350,0,0,0,0,1,1,3,1,6,1460
"UNKNOWN","Reg","Lvl","AllPub","IDOTRR",70,7518,5,8,1910,2004,0,0,0,396,665,665,0,0,0,1,0,3,1,7,1165
"UNKNOWN","IR1","HLS","AllPub","StoneBr",60,15922,9,5,2005,2006,550,0,0,1390,1390,1405,0,0,0,3,1,4,1,10,4011
"UNKNOWN","IR1","Lvl","AllPub","NAmes",20,12342,5,5,1960,1978,0,0,0,978,1422,0,0,0,0,1,0,3,1,6,1399
"UNKNOWN","Reg","Lvl","AllPub","OldTown",50,9000,5,6,1946,1950,0,445,0,459,904,595,0,0,0,1,0,3,1,5,1400
"UNKNOWN","Reg","Lvl","AllPub","BrDale",160,1920,5,5,1971,1971,376,471,0,294,765,600,0,1,0,1,1,2,1,6,1225
"UNKNOWN","Reg","Lvl","AllPub","NAmes",20,7931,5,5,1959,1959,0,1148,0,0,1148,0,0,1,0,1,0,3,1,6,1325
"Grvl","Reg","Lvl","AllPub","OldTown",70,10440,5,8,1904,2002,0,0,0,650,958,581,0,0,0,2,0,3,1,8,1575
"UNKNOWN","Reg","Lvl","AllPub","OldTown",75,5520,6,6,1912,1950,0,0,0,755,929,929,371,0,0,1,0,5,1,8,1040
"UNKNOWN","Reg","Lvl","AllPub","Edwards",30,8777,3,6,1945,2007,0,0,0,0,640,0,0,0,0,1,0,2,1,5,849
"UNKNOWN","Reg","Lvl","AllPub","NWAmes",20,9600,8,5,1981,1981,0,1104,0,1420,2524,0,0,1,0,2,1,4,1,9,2780
"Grvl","Reg","Lvl","AllPub","IDOTRR",30,8765,4,6,1936,1950,0,285,0,666,951,0,0,0,0,1,0,2,1,6,1065
"UNKNOWN","Reg","Lvl","AllPub","MeadowV",180,1477,4,4,1970,1970,0,509,0,121,630,0,0,1,0,1,0,1,1,3,800
"UNKNOWN","Reg","Lvl","AllPub","NridgHt",120,4590,8,5,2006,2006,108,24,0,1530,1554,0,0,0,0,2,0,2,1,6,2095
"UNKNOWN","Reg","Lvl","AllPub","NAmes",85,8400,5,6,1968,1968,0,744,0,89,898,0,0,1,0,1,0,3,1,6,1400
"UNKNOWN","IR1","Lvl","AllPub","Gilbert",60,8740,7,5,2002,2002,0,574,0,280,864,1131,0,0,0,2,1,4,1,8,2195
